1airline,2airport,3count
NK,MSP,1
NK,IAH,1
NK,PBG,1
NK,DFW,1
NK,FLL,1
AA,LAX,3
DL,SLC,2
DL,SEA,2
DL,LAX,1
DL,PDX,1
DL,DEN,1
DL,ANC,1
DL,SFO,1
DL,LAS,1
HA,LAS,1
HA,HNL,1
AS,PDX,1
AS,FAI,1
US,SFO,1
US,PHX,1
US,ANC,1
US,LAS,1
AS,ANC,6
AS,SEA,6
AA,MIA,5
DL,ATL,3
US,CLT,2
UA,LAX,1
UA,SFO,1
DL,MSP,5
B6,JFK,1
B6,SJU,1
AA,DFW,1
AA,SEA,1
AA,PHX,1
AA,LAS,1
AA,SFO,1
AA,PBI,1
UA,IAH,2
NK,LAS,3
