1airline,2airport,3count
UA,LAX,1
DL,MSP,40
US,SFO,1
NK,PBG,1
AA,DFW,1
AS,PDX,1
US,CLT,16
HA,LAS,1
US,LAS,1
NK,LAS,24
DL,SLC,16
NK,FLL,1
AA,PHX,1
AA,LAS,1
AA,LAX,24
HA,HNL,1
AA,PBI,1
NK,MSP,1
DL,LAX,1
NK,IAH,1
DL,PDX,1
DL,DEN,1
AS,ANC,48
US,PHX,1
UA,SFO,1
US,ANC,1
B6,JFK,1
AA,SEA,1
AS,SEA,48
DL,ATL,24
AA,MIA,40
DL,ANC,1
NK,DFW,1
DL,SFO,1
DL,SEA,16
AA,SFO,1
UA,IAH,2
AS,FAI,1
B6,SJU,1
DL,LAS,1
