1airline,2airport,3count
AS,ANC,48
AS,SEA,48
DL,MSP,40
AA,MIA,40
NK,LAS,24
AA,LAX,24
DL,ATL,24
US,CLT,16
DL,SLC,16
DL,SEA,16
